"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"Sem informação";"0,00";"0,00";"63829853,40";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"206,80";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"955305,49";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"38959,87";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Receita de Serviços";"Sem informação";"Sem informação";"636000,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Receita de Serviços";"Sem informação";"Sem informação";"0,00";"0,00";"4486964,41";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"Sem informação";"0,00";"0,00";"13060401,15";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"48085,58";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"1022856,02";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"4085135,44";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"Sem informação";"0,00";"0,00";"118181,92";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"Sem informação";"0,00";"0,00";"609,37";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"Sem informação";"0,00";"0,00";"2120665,41";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Impostos, Taxas e Contribuições de Melhoria";"Taxas";"Sem informação";"0,00";"0,00";"51922,63";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"63111,28";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"11546322,86";"0,00";"31/12/2015";"2015"
"91001";"Governo do Distrito Federal - DAR";"91001";"Governo do Distrito Federal - DAR - Unidades com vínculo direto";"910004";"GOVERNO DO DISTRITO FEDERAL - CONTA UNICA";"Receitas Correntes";"Receitas Correntes - a classificar";"Sem informação";"Sem informação";"0,00";"0,00";"728213,10";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130101";"COORD.-GERAL DE ORCAMENTO E FINANçAS-MAPA";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"14807820,86";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes - intra-orçamentárias";"Receita Patrimonial";"Exploração do patrimônio imobiliário do Estad";"Sem informação";"0,00";"0,00";"137823,50";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22905";"Fundo de Defesa da Economia Cafeeira";"130137";"FUNDO DE DEFESA DA ECON.CAFEEIRA/FUNCAFE/SPA";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"92388,59";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22905";"Fundo de Defesa da Economia Cafeeira";"130137";"FUNDO DE DEFESA DA ECON.CAFEEIRA/FUNCAFE/SPA";"Receitas de Capital";"Alienação de Bens";"Alienação de bens móveis";"Sem informação";"0,00";"0,00";"75025,43";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130101";"COORD.-GERAL DE ORCAMENTO E FINANçAS-MAPA";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"Sem informação";"0,00";"0,00";"29700,00";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22905";"Fundo de Defesa da Economia Cafeeira";"130137";"FUNDO DE DEFESA DA ECON.CAFEEIRA/FUNCAFE/SPA";"Receitas de Capital";"Alienação de Bens";"Alienação de bens móveis";"Sem informação";"10259633,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"703767,90";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130101";"COORD.-GERAL DE ORCAMENTO E FINANçAS-MAPA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"Sem informação";"0,00";"0,00";"37248558,52";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130101";"COORD.-GERAL DE ORCAMENTO E FINANçAS-MAPA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"Sem informação";"10614413,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130101";"COORD.-GERAL DE ORCAMENTO E FINANçAS-MAPA";"Receitas Correntes";"Contribuições";"Contribuições sociais";"Sem informação";"0,00";"0,00";"9637069,61";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas de Capital";"Alienação de Bens";"Alienação de bens móveis";"Sem informação";"368720,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Receita Agropecuária";"Outras receitas agropecuárias";"Sem informação";"0,00";"0,00";"5999,99";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas de Capital";"Alienação de Bens";"Alienação de bens móveis";"Sem informação";"0,00";"0,00";"88496,04";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Receita de Serviços";"Sem informação";"Sem informação";"0,00";"0,00";"27,03";"0,00";"31/12/2015";"2015"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"751,36";"0,00";"31/12/2015";"2015"
