"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"433422,71";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"87837,84";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"387760,59";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"164884,72";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"449169,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"16358,06";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"3313300,95";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"4892,62";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"18797395,61";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"11790,99";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168002";"INDúSTRIA DE MATERIAL BéLICO DO BRASIL/GESTOR";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"2694157,00";"0,00";"2392912,49";"89,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"36787044,30";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160075";"D CONT - SETORIAL FINANCEIRA";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"439502,57";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"1194,48";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160075";"D CONT - SETORIAL FINANCEIRA";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"493124,86";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"18770,25";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"31280";"Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"773008";"DIRETORIA DE FINANçAS DA MARINHA - CCCPM";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"30000,00";"0,00";"48707,27";"162,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"31280";"Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"773008";"DIRETORIA DE FINANçAS DA MARINHA - CCCPM";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"57412,15";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo direto";"110407";"DEPARTAMENTO DE PLANEJ, ORC E FINANCAS (MD)";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"3861448,72";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo direto";"110407";"DEPARTAMENTO DE PLANEJ, ORC E FINANCAS (MD)";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"112835,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52132";"Comando da Marinha - Fundo Naval";"673001";"DIRETORIA DE FINANCAS-SISTEMA PARA O PAIS/MM";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"132411880,05";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo direto";"110407";"DEPARTAMENTO DE PLANEJ, ORC E FINANCAS (MD)";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"4188853,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo direto";"110407";"DEPARTAMENTO DE PLANEJ, ORC E FINANCAS (MD)";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"781031,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"44628886,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52133";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"873001";"DIRETORIA DE FINANCAS-SISTEMA PARA O PAIS/MM";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"39548300,00";"0,00";"29984711,53";"76,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"1640205,75";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"1811450,88";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52211";"Caixa de Financiamento Imobiliário da Aeronáutica";"123001";"CAIXA FINANCIAMENTO IMOBILIÁRIO AERONÁUTICA";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"1467334,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52211";"Caixa de Financiamento Imobiliário da Aeronáutica";"123001";"CAIXA FINANCIAMENTO IMOBILIÁRIO AERONÁUTICA";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"5115698,92";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo direto";"110407";"DEPARTAMENTO DE PLANEJ, ORC E FINANCAS (MD)";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"1147367,73";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167086";"FUNDO DO EXERCITO";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"0,00";"0,00";"80888,85";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"31280";"Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"773008";"DIRETORIA DE FINANçAS DA MARINHA - CCCPM";"Receitas Correntes";"Receita Patrimonial";"Valores Mobiliários";"Sem informação";"8000000,00";"0,00";"9004660,67";"113,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168002";"INDúSTRIA DE MATERIAL BéLICO DO BRASIL/GESTOR";"Receitas Correntes";"Receita Industrial";"Receitas da indústria de transformação";"Sem informação";"0,00";"0,00";"887100,13";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52133";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"873001";"DIRETORIA DE FINANCAS-SISTEMA PARA O PAIS/MM";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"MULTAS E JUROS DE MORA  OUTRAS CONTRIBUICOES";"0,00";"0,00";"408460,11";"0,00";"31/12/2014";"2014"
"52000";"Ministério da Defesa";"52133";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"873001";"DIRETORIA DE FINANCAS-SISTEMA PARA O PAIS/MM";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"MULTAS E JUROS DE MORA  OUTRAS CONTRIBUICOES";"0,00";"0,00";"102115,17";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"0,00";"0,00";"1581860,46";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"0,00";"0,00";"2372791,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"0,00";"0,00";"4822750,97";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"3054163,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"RECEITA DIV.ATIV TX FISCALIZ DE INSTALACAO";"3009,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
